This is the Log File of datestart Time 2022-04-11 08:18:41
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.004734 (s)
Elapsed time for execution without CUDA graph:0.004714 (s)
Elapsed time for execution without CUDA graph:0.004722 (s)
Elapsed time for execution without CUDA graph:0.004718 (s)
Elapsed time for execution without CUDA graph:0.004717 (s)
Elapsed time for execution without CUDA graph:0.004715 (s)
Elapsed time for execution without CUDA graph:0.004732 (s)
Elapsed time for execution without CUDA graph:0.004719 (s)
Elapsed time for execution without CUDA graph:0.004729 (s)
----- run GEMM 1280 x 1280, BS=128
Elapsed time for execution without CUDA graph:0.001381 (s)
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001288 (s)
Elapsed time for execution without CUDA graph:0.001460 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001288 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001296 (s)
Elapsed time for execution without CUDA graph:0.001297 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001289 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001291 (s)
Elapsed time for execution without CUDA graph:0.001293 (s)
Elapsed time for execution without CUDA graph:0.001290 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
Elapsed time for execution without CUDA graph:0.001292 (s)
