index,time,kernel,dimension,blocksize,operation
70,7.17178,18225,34560,256,launch
71,7.17523,18225,34560,256,launch
72,7.17159,18225,34560,256,launch
73,7.17267,18225,34560,256,launch
74,7.17365,18225,34560,256,launch
75,7.17336,18225,34560,256,launch
76,7.17362,18225,34560,256,launch
77,7.17404,18225,34560,256,launch
78,7.17437,18225,34560,256,launch
79,7.17381,18225,34560,256,launch
80,7.16987,18225,34560,256,launch
81,7.17267,18225,34560,256,launch
82,7.17414,18225,34560,256,launch
83,7.17168,18225,34560,256,launch
84,7.17298,18225,34560,256,launch
85,7.17522,18225,34560,256,launch
86,7.17444,18225,34560,256,launch
87,7.1763,18225,34560,256,launch
88,7.17499,18225,34560,256,launch
89,7.17274,18225,34560,256,launch
90,7.17263,18225,34560,256,launch
91,7.17382,18225,34560,256,launch
92,7.17535,18225,34560,256,launch
93,7.17515,18225,34560,256,launch
94,7.17405,18225,34560,256,launch
95,7.17579,18225,34560,256,launch
96,7.17444,18225,34560,256,launch
97,7.17494,18225,34560,256,launch
98,7.176,18225,34560,256,launch
99,7.17551,18225,34560,256,launch
100,7.2478,18225,34560,256,launch
101,7.22077,18225,34560,256,launch
102,7.17689,18225,34560,256,launch
103,7.17388,18225,34560,256,launch
104,7.17316,18225,34560,256,launch
105,7.17515,18225,34560,256,launch
106,7.1744,18225,34560,256,launch
107,7.17466,18225,34560,256,launch
108,7.17496,18225,34560,256,launch
109,7.17587,18225,34560,256,launch
110,7.17391,18225,34560,256,launch
111,7.17549,18225,34560,256,launch
112,7.17426,18225,34560,256,launch
113,7.17433,18225,34560,256,launch
114,7.17645,18225,34560,256,launch
115,7.17683,18225,34560,256,launch
116,7.17663,18225,34560,256,launch
117,7.17705,18225,34560,256,launch
118,7.17504,18225,34560,256,launch
119,7.17672,18225,34560,256,launch
120,7.17289,18225,34560,256,launch
121,7.17328,18225,34560,256,launch
122,7.17503,18225,34560,256,launch
123,7.17663,18225,34560,256,launch
124,7.17604,18225,34560,256,launch
125,7.17575,18225,34560,256,launch
126,7.17693,18225,34560,256,launch
127,7.17539,18225,34560,256,launch
128,7.17876,18225,34560,256,launch
129,7.1752,18225,34560,256,launch
130,7.17599,18225,34560,256,launch
131,7.17624,18225,34560,256,launch
132,7.17629,18225,34560,256,launch
133,7.17546,18225,34560,256,launch
134,7.17612,18225,34560,256,launch
135,7.17471,18225,34560,256,launch
136,7.17452,18225,34560,256,launch
137,7.17438,18225,34560,256,launch
138,7.17444,18225,34560,256,launch
139,7.17543,18225,34560,256,launch
140,7.16879,18225,34560,256,launch
141,7.17199,18225,34560,256,launch
142,7.17461,18225,34560,256,launch
143,7.17289,18225,34560,256,launch
144,7.17334,18225,34560,256,launch
145,7.17447,18225,34560,256,launch
146,7.17152,18225,34560,256,launch
147,7.17468,18225,34560,256,launch
148,7.17397,18225,34560,256,launch
149,7.17464,18225,34560,256,launch
150,7.1746,18225,34560,256,launch
151,7.17406,18225,34560,256,launch
152,7.17521,18225,34560,256,launch
153,7.17514,18225,34560,256,launch
154,7.17462,18225,34560,256,launch
155,7.17532,18225,34560,256,launch
156,7.17316,18225,34560,256,launch
157,7.17552,18225,34560,256,launch
158,7.17747,18225,34560,256,launch
159,7.1748,18225,34560,256,launch
160,7.17455,18225,34560,256,launch
161,7.17356,18225,34560,256,launch
162,7.17382,18225,34560,256,launch
163,7.17551,18225,34560,256,launch
164,7.17444,18225,34560,256,launch
165,7.17538,18225,34560,256,launch
166,7.17634,18225,34560,256,launch
167,7.1764,18225,34560,256,launch
168,7.17536,18225,34560,256,launch
169,7.17543,18225,34560,256,launch
170,7.17591,18225,34560,256,launch
171,7.17531,18225,34560,256,launch
172,7.17547,18225,34560,256,launch
173,7.1764,18225,34560,256,launch
174,7.1754,18225,34560,256,launch
175,7.17448,18225,34560,256,launch
176,7.17513,18225,34560,256,launch
177,7.17395,18225,34560,256,launch
178,7.1748,18225,34560,256,launch
179,7.175,18225,34560,256,launch
180,7.16672,18225,34560,256,launch
181,7.17281,18225,34560,256,launch
182,7.17444,18225,34560,256,launch
183,7.17571,18225,34560,256,launch
184,7.17406,18225,34560,256,launch
185,7.17331,18225,34560,256,launch
186,7.17341,18225,34560,256,launch
187,7.17454,18225,34560,256,launch
188,7.17659,18225,34560,256,launch
189,7.17826,18225,34560,256,launch
190,7.17506,18225,34560,256,launch
191,7.17161,18225,34560,256,launch
192,7.17526,18225,34560,256,launch
193,7.17454,18225,34560,256,launch
194,7.17262,18225,34560,256,launch
195,7.17503,18225,34560,256,launch
196,7.17434,18225,34560,256,launch
197,7.17548,18225,34560,256,launch
198,7.17486,18225,34560,256,launch
199,7.17626,18225,34560,256,launch
index,time,kernel,dimension,blocksize,operation
0,0.11061,11664,34560,320,capture
1,0.110768,11664,34560,320,capture
2,0.110871,11664,34560,320,capture
3,0.110738,11664,34560,320,capture
4,0.110423,11664,34560,320,capture
5,0.110065,11664,34560,320,capture
6,0.110345,11664,34560,320,capture
7,0.110401,11664,34560,320,capture
8,0.110234,11664,34560,320,capture
9,0.110496,11664,34560,320,capture
index,time,kernel,dimension,blocksize,operation
0,0.088169,11664,34560,320,instantiation
1,0.0883995,11664,34560,320,instantiation
2,0.0891671,11664,34560,320,instantiation
3,0.0880443,11664,34560,320,instantiation
4,0.0882957,11664,34560,320,instantiation
5,0.0875497,11664,34560,320,instantiation
6,0.0878291,11664,34560,320,instantiation
7,0.0887207,11664,34560,320,instantiation
8,0.0892317,11664,34560,320,instantiation
9,0.0899932,11664,34560,320,instantiation
index,time,kernel,dimension,blocksize,operation
0,7.27064,11664,34560,320,launch
1,7.31038,11664,34560,320,launch
2,7.33774,11664,34560,320,launch
3,7.36148,11664,34560,320,launch
4,7.38355,11664,34560,320,launch
5,7.39909,11664,34560,320,launch
6,7.41488,11664,34560,320,launch
7,7.42276,11664,34560,320,launch
8,7.43969,11664,34560,320,launch
9,7.444,11664,34560,320,launch
10,7.45524,11664,34560,320,launch
11,7.46068,11664,34560,320,launch
12,7.46333,11664,34560,320,launch
13,7.46618,11664,34560,320,launch
14,7.46856,11664,34560,320,launch
15,7.46935,11664,34560,320,launch
16,7.46899,11664,34560,320,launch
17,7.47076,11664,34560,320,launch
18,7.46891,11664,34560,320,launch
19,7.46906,11664,34560,320,launch
20,7.45148,11664,34560,320,launch
21,7.46697,11664,34560,320,launch
22,7.46277,11664,34560,320,launch
23,7.45981,11664,34560,320,launch
24,7.4592,11664,34560,320,launch
25,7.45932,11664,34560,320,launch
26,7.46047,11664,34560,320,launch
27,7.45535,11664,34560,320,launch
28,7.45967,11664,34560,320,launch
29,7.45344,11664,34560,320,launch
30,7.45629,11664,34560,320,launch
31,7.45003,11664,34560,320,launch
32,7.45322,11664,34560,320,launch
33,7.44962,11664,34560,320,launch
34,7.44726,11664,34560,320,launch
35,7.44611,11664,34560,320,launch
36,7.44778,11664,34560,320,launch
37,7.44594,11664,34560,320,launch
38,7.44482,11664,34560,320,launch
39,7.44343,11664,34560,320,launch
40,7.42965,11664,34560,320,launch
41,7.4452,11664,34560,320,launch
42,7.44475,11664,34560,320,launch
43,7.44331,11664,34560,320,launch
44,7.44408,11664,34560,320,launch
45,7.44067,11664,34560,320,launch
46,7.44208,11664,34560,320,launch
47,7.43976,11664,34560,320,launch
48,7.44268,11664,34560,320,launch
49,7.44035,11664,34560,320,launch
50,7.44345,11664,34560,320,launch
51,7.44415,11664,34560,320,launch
52,7.44,11664,34560,320,launch
53,7.44222,11664,34560,320,launch
54,7.44241,11664,34560,320,launch
55,7.43892,11664,34560,320,launch
56,7.44098,11664,34560,320,launch
57,7.44137,11664,34560,320,launch
58,7.4402,11664,34560,320,launch
59,7.44242,11664,34560,320,launch
