This is the Log File of datestart Time 2022-04-14 14:40:56
----- run GEMM 1280 x 1280, BS=1280
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002148 (s)
Elapsed time for execution without CUDA graph:0.002148 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002148 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002149 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002148 (s)
Elapsed time for execution without CUDA graph:0.002148 (s)
Elapsed time for execution without CUDA graph:0.002145 (s)
Elapsed time for execution without CUDA graph:0.002145 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002141 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002146 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002147 (s)
Elapsed time for execution without CUDA graph:0.002148 (s)
