index,time,kernel,dimension,blocksize
171,0.0587581,36,7680,1280
172,0.0581377,36,7680,1280
173,0.058139,36,7680,1280
174,0.0586333,36,7680,1280
175,0.0587283,36,7680,1280
176,0.0585678,36,7680,1280
177,0.0587632,36,7680,1280
178,0.0586725,36,7680,1280
179,0.0584803,36,7680,1280
180,0.0585323,36,7680,1280
181,0.0587263,36,7680,1280
182,0.0588484,36,7680,1280
183,0.0588473,36,7680,1280
184,0.0588017,36,7680,1280
185,0.0584064,36,7680,1280
186,0.0588469,36,7680,1280
187,0.0588472,36,7680,1280
188,0.0586332,36,7680,1280
189,0.05834,36,7680,1280
190,0.058526,36,7680,1280
191,0.0582112,36,7680,1280
192,0.0584951,36,7680,1280
193,0.0588493,36,7680,1280
194,0.0587626,36,7680,1280
195,0.058139,36,7680,1280
196,0.0586575,36,7680,1280
197,0.0588496,36,7680,1280
198,0.0588481,36,7680,1280
199,0.0588482,36,7680,1280
index,time,kernel,dimension,blocksize
0,0.145255,3600,7680,128
1,0.127845,3600,7680,128
2,0.112807,3600,7680,128
3,0.112808,3600,7680,128
4,0.112821,3600,7680,128
5,0.112795,3600,7680,128
6,0.112816,3600,7680,128
7,0.112788,3600,7680,128
8,0.112788,3600,7680,128
9,0.113437,3600,7680,128
10,0.114143,3600,7680,128
11,0.112917,3600,7680,128
12,0.112777,3600,7680,128
13,0.113265,3600,7680,128
14,0.113101,3600,7680,128
15,0.112775,3600,7680,128
16,0.112773,3600,7680,128
17,0.113493,3600,7680,128
18,0.113723,3600,7680,128
19,0.113687,3600,7680,128
20,0.11372,3600,7680,128
21,0.112887,3600,7680,128
22,0.113947,3600,7680,128
23,0.113787,3600,7680,128
24,0.112323,3600,7680,128
25,0.112791,3600,7680,128
26,0.113589,3600,7680,128
27,0.113955,3600,7680,128
28,0.113322,3600,7680,128
29,0.113386,3600,7680,128
30,0.113609,3600,7680,128
31,0.113317,3600,7680,128
32,0.113678,3600,7680,128
33,0.112798,3600,7680,128
34,0.112816,3600,7680,128
35,0.113692,3600,7680,128
36,0.113721,3600,7680,128
37,0.113712,3600,7680,128
38,0.113692,3600,7680,128
39,0.113703,3600,7680,128
40,0.113726,3600,7680,128
41,0.113054,3600,7680,128
42,0.11321,3600,7680,128
43,0.112774,3600,7680,128
44,0.113539,3600,7680,128
45,0.113707,3600,7680,128
46,0.113703,3600,7680,128
47,0.113693,3600,7680,128
48,0.113713,3600,7680,128
49,0.113703,3600,7680,128
50,0.113708,3600,7680,128
51,0.112829,3600,7680,128
52,0.112915,3600,7680,128
53,0.114146,3600,7680,128
54,0.11328,3600,7680,128
55,0.113711,3600,7680,128
56,0.113705,3600,7680,128
57,0.113716,3600,7680,128
58,0.113712,3600,7680,128
59,0.113698,3600,7680,128
