index,time,kernel,dimension,blocksize
42,0.101019,196,8960,640
42,0.131184,784,8960,320
42,0.14247,1225,8960,256
42,0.173238,4900,8960,128
42,0.370679,19600,8960,64
43,0.0898488,49,8960,1280
43,0.10036,196,8960,640
43,0.131223,784,8960,320
43,0.143245,1225,8960,256
43,0.173233,4900,8960,128
43,0.370702,19600,8960,64
44,0.0904836,49,8960,1280
44,0.100355,196,8960,640
44,0.13317,784,8960,320
44,0.143108,1225,8960,256
44,0.173224,4900,8960,128
44,0.370707,19600,8960,64
45,0.0907849,49,8960,1280
45,0.100362,196,8960,640
45,0.132062,784,8960,320
45,0.141999,1225,8960,256
45,0.173221,4900,8960,128
45,0.370702,19600,8960,64
46,0.0920738,49,8960,1280
46,0.100359,196,8960,640
46,0.132435,784,8960,320
46,0.143293,1225,8960,256
46,0.173218,4900,8960,128
46,0.370687,19600,8960,64
47,0.0917308,49,8960,1280
47,0.101191,196,8960,640
47,0.131246,784,8960,320
47,0.143272,1225,8960,256
47,0.17322,4900,8960,128
47,0.370682,19600,8960,64
48,0.0903853,49,8960,1280
48,0.101608,196,8960,640
48,0.131245,784,8960,320
48,0.143279,1225,8960,256
48,0.173227,4900,8960,128
48,0.370634,19600,8960,64
49,0.0891663,49,8960,1280
49,0.101609,196,8960,640
49,0.131233,784,8960,320
49,0.14323,1225,8960,256
49,0.173232,4900,8960,128
49,0.370683,19600,8960,64
50,0.0897801,49,8960,1280
50,0.101609,196,8960,640
50,0.131124,784,8960,320
50,0.143217,1225,8960,256
50,0.173198,4900,8960,128
50,0.370674,19600,8960,64
51,0.089454,49,8960,1280
51,0.101605,196,8960,640
51,0.132237,784,8960,320
51,0.143124,1225,8960,256
51,0.173221,4900,8960,128
51,0.370681,19600,8960,64
52,0.0897539,49,8960,1280
52,0.101193,196,8960,640
52,0.132887,784,8960,320
52,0.141975,1225,8960,256
52,0.173223,4900,8960,128
52,0.370681,19600,8960,64
53,0.0895916,49,8960,1280
53,0.100358,196,8960,640
53,0.132327,784,8960,320
53,0.143317,1225,8960,256
53,0.173205,4900,8960,128
53,0.370646,19600,8960,64
54,0.0900989,49,8960,1280
54,0.100364,196,8960,640
54,0.131624,784,8960,320
54,0.143227,1225,8960,256
54,0.173232,4900,8960,128
54,0.37068,19600,8960,64
55,0.0902149,49,8960,1280
55,0.100359,196,8960,640
55,0.131196,784,8960,320
55,0.143258,1225,8960,256
55,0.173209,4900,8960,128
55,0.370669,19600,8960,64
56,0.0912206,49,8960,1280
56,0.100768,196,8960,640
56,0.13116,784,8960,320
56,0.143191,1225,8960,256
56,0.173205,4900,8960,128
56,0.370672,19600,8960,64
57,0.0918879,49,8960,1280
57,0.10203,196,8960,640
